record_ID,units_sold
212645,19.018278
212646,19.119987
212647,23.82777
212648,25.202806
212649,20.801794
212653,27.799097
212654,38.973713
212657,18.793995
212658,14.313652
212661,199.856
212662,102.969925
212663,51.043583
212666,90.22064
212667,103.38774
212668,139.94559
212671,63.158474
212672,124.38685
212673,76.10888
212674,494.2747
212675,27.486422
212676,17.331295
212677,77.285164
212678,55.881477
212679,53.923054
212681,56.967262
212682,113.6788
212683,29.504654
212686,99.907135
212687,95.35334
212688,29.94274
212689,9.343512
212691,28.002466
212692,58.715397
212693,45.11707
212694,42.61602
212695,40.98289
212696,25.626614
212697,108.51059
212698,33.709747
212699,210.12782
212700,30.214066
212701,30.263418
212702,48.642635
212703,50.064674
212704,45.289375
212705,31.66035
212706,43.77631
212707,42.29917
212709,9.444686
212710,20.34552
212711,36.81309
212712,43.084995
212713,29.688013
212716,31.771751
212717,33.811695
212718,18.587622
212719,17.854786
212721,97.309364
212722,23.764751
212723,118.68254
212724,19.896404
212725,14.49836
212727,34.22146
212728,44.652107
212729,43.420845
212731,40.147137
212732,34.641315
212734,8.763561
212735,10.935978
212736,20.80234
212737,262.24783
212738,231.15001
212739,61.045887
212740,24.073042
212742,87.53703
212743,114.39288
212744,231.80234
212748,288.1734
212749,97.569496
212750,611.44684
212751,51.09558
212752,31.871157
212754,112.74121
212755,78.97596
212756,109.16742
212757,52.201485
212758,61.992138
212759,145.04405
212760,11.217815
212761,99.409775
212763,18.808987
212764,101.35248
212765,84.72289
212767,38.924038
212768,46.018684
212769,79.34995
212772,53.16039
212773,70.702286
212774,29.810614
212775,257.5426
212776,19.380955
212777,11.042402
212778,55.05028
212779,33.29291
212782,46.133297
212783,61.35751
212787,214.95375
212788,116.53984
212789,62.197807
212790,23.347378
212792,88.502884
212793,102.13526
212794,136.81638
212796,148.8416
212797,167.71075
212798,507.92435
212799,36.78068
212800,21.47872
212802,91.37007
212803,64.89683
212805,48.37189
212806,72.76687
212807,115.18831
212809,40.783157
212812,40.505047
212816,15.942888
212817,32.341488
212818,44.497227
212819,23.400244
212820,16.05993
212821,24.901077
212822,80.45155
212823,25.942577
212824,194.24414
212825,19.671015
212826,14.073257
212828,35.655415
212829,45.642635
212830,38.523537
212831,35.050686
212832,37.38695
212833,34.64352
212834,32.424232
212835,24.50595
212837,7.7567396
212838,22.585945
212839,22.623001
212840,17.357038
212843,61.791546
212844,12.697973
212845,84.48762
212846,10.429401
212849,59.05774
212850,21.94492
212853,27.514824
212856,44.474834
212857,26.896881
212860,15.6167755
212861,40.430836
212862,52.804802
212863,9.306461
212866,137.25757
212867,38.01125
212868,214.08214
212869,34.995926
212870,35.659706
212872,47.024307
212873,63.95353
212874,36.946934
212875,31.69737
212876,31.022947
212877,31.868778
212879,14.142498
212880,33.051205
212881,37.577717
212884,13.027351
212885,33.678303
212886,22.870773
212888,22.920765
212889,48.031544
212890,18.749247
212891,91.906334
212892,14.293297
212893,23.372004
212896,29.754082
212899,8.917622
212900,12.437353
212901,29.298552
212902,18.31102
212903,16.95035
212905,39.99765
212906,14.064556
212907,160.53177
212910,15.980793
212911,22.817081
212914,18.266214
212915,122.617035
212916,72.92622
212917,29.523428
212919,39.592686
212920,60.98861
212921,112.928894
212924,99.11294
212925,39.029766
212926,393.51837
212927,17.001217
212929,74.15349
212930,41.772568
212931,23.149153
212932,56.15484
212933,49.267746
212934,116.21693
212935,11.516731
212936,81.60305
212937,63.462162
212938,17.86974
212940,44.96711
212941,47.805088
212942,34.46509
212946,61.70301
212947,63.035385
212948,223.67688
212949,49.607
212950,53.693817
212951,48.79516
212952,44.86795
212954,52.960873
212955,34.87268
212956,28.170582
212959,21.677498
212960,21.62385
212964,91.16623
212965,27.349323
212966,174.89803
212967,24.705334
212968,21.267931
212969,32.52871
212970,47.934086
212971,26.326836
212973,26.856585
212974,20.776772
212977,43.104504
212978,55.886368
212979,26.847942
212981,20.57445
212982,42.655895
212983,39.6207
212984,34.315742
212985,41.026974
212986,47.255913
212987,116.01486
212988,31.12132
212989,319.87054
212990,31.996998
212991,27.976341
212993,51.768803
212994,51.929077
212995,48.527645
212996,32.944443
212997,37.23745
212998,57.996822
212999,8.17193
213001,16.897247
213002,16.631079
213006,18.991983
213007,24.491537
213011,31.874743
213012,11.321793
213013,99.26367
213016,18.917688
213017,15.491373
213020,21.856697
213021,170.3459
213022,104.81247
213023,89.516396
213025,41.65106
213026,51.831554
213027,102.20281
