record_ID,units_sold
212645,19.66657
212646,23.442719
212647,22.577429
212648,25.810513
212649,25.702442
212653,22.969572
212654,35.62975
212657,13.320879
212658,11.66926
212661,188.36217
212662,110.43549
212663,50.744186
212666,82.78545
212667,93.929115
212668,138.16599
212671,51.73308
212672,112.30239
212673,82.929665
212674,402.2804
212675,30.559183
212676,14.427543
212677,95.02689
212678,44.23142
212679,39.85599
212681,44.95267
212682,106.336586
212683,31.70146
212686,79.76597
212687,78.77398
212688,20.585423
212689,8.214837
212691,23.284931
212692,48.00632
212693,39.575603
212694,34.91334
212695,33.800945
212696,27.178732
212697,84.73252
212698,27.215736
212699,212.76973
212700,27.941986
212701,26.059862
212702,34.6221
212703,44.23698
212704,32.158463
212705,27.10838
212706,26.104786
212707,43.40274
212709,10.499037
212710,15.918827
212711,33.161438
212712,36.498333
212713,25.670658
212716,28.763939
212717,33.523773
212718,21.554462
212719,21.794323
212721,85.11897
212722,26.114452
212723,83.54683
212724,12.80655
212725,9.104651
212727,33.854675
212728,49.101433
212729,42.979706
212731,29.600521
212732,41.76412
212734,6.52855
212735,11.982021
212736,15.010775
212737,286.2267
212738,194.36745
212739,62.716312
212740,24.64619
212742,78.10003
212743,115.76499
212744,222.17836
212748,255.42632
212749,83.66253
212750,632.58795
212751,49.571995
212752,25.044468
212754,126.364426
212755,73.232185
212756,144.13179
212757,53.498486
212758,69.181465
212759,133.35838
212760,8.645246
212761,97.05539
212763,15.42491
212764,106.86491
212765,84.40331
212767,39.54038
212768,52.066586
212769,76.227516
212772,38.56507
212773,66.54998
212774,30.575909
212775,227.47697
212776,9.714684
212777,10.1078615
212778,48.55015
212779,29.659466
212782,43.698376
212783,70.175804
212787,219.82584
212788,122.61443
212789,86.75689
212790,21.47854
212792,101.273926
212793,121.704384
212794,141.76933
212796,147.42488
212797,361.33975
212798,442.4227
212799,34.79894
212800,19.904
212802,92.894485
212803,73.61494
212805,57.59231
212806,59.901077
212807,114.53808
212809,51.240673
212812,37.48233
212816,18.193247
212817,27.185493
212818,40.06905
212819,18.136086
212820,17.466377
212821,24.609299
212822,63.980022
212823,19.43683
212824,130.17653
212825,14.729208
212826,14.444248
212828,37.86722
212829,35.76931
212830,38.432972
212831,34.467617
212832,34.746494
212833,43.129642
212834,34.80695
212835,26.931143
212837,11.221337
212838,21.780704
212839,27.910513
212840,20.344831
212843,61.129917
212844,11.818278
212845,50.96271
212846,8.018063
212849,54.198
212850,27.775198
212853,38.951138
212856,40.868366
212857,23.324986
212860,15.596001
212861,42.221897
212862,60.8669
212863,12.773717
212866,126.28608
212867,38.014477
212868,193.59074
212869,30.115538
212870,34.619835
212872,36.202938
212873,58.756935
212874,41.977596
212875,24.240135
212876,35.225246
212877,52.488247
212879,21.527927
212880,29.726368
212881,35.99303
212884,10.882337
212885,30.725548
212886,20.481129
212888,21.445915
212889,45.041782
212890,14.846338
212891,60.885387
212892,14.731294
212893,28.531033
212896,29.944962
212899,9.93054
212900,12.994301
212901,22.558514
212902,20.935667
212903,12.795483
212905,43.551365
212906,13.616159
212907,88.95729
212910,14.710912
212911,18.085499
212914,17.459743
212915,125.90724
212916,84.19465
212917,34.1879
212919,35.18562
212920,46.598316
212921,94.607765
212924,77.76292
212925,37.310062
212926,305.84018
212927,13.312631
212929,70.30273
212930,66.70344
212931,20.67025
212932,54.676052
212933,56.49013
212934,94.13317
212935,12.348772
212936,89.587265
212937,68.39565
212938,17.461655
212940,45.240227
212941,44.817074
212942,36.045677
212946,63.58363
212947,54.35364
212948,138.39018
212949,29.396309
212950,37.023563
212951,58.207905
212952,42.37681
212954,65.17498
212955,33.927124
212956,28.077545
212959,16.391348
212960,24.633497
212964,87.03091
212965,24.613327
212966,181.1978
212967,18.801203
212968,18.715551
212969,31.70787
212970,42.53904
212971,34.11437
212973,25.740822
212974,32.259335
212977,49.067326
212978,56.55852
212979,32.288387
212981,20.796484
212982,36.38548
212983,41.79515
212984,36.707775
212985,39.691998
212986,46.824337
212987,99.80848
212988,30.432178
212989,264.33917
212990,24.772123
212991,27.454342
212993,43.327156
212994,48.22522
212995,46.583622
212996,35.692924
212997,40.737514
212998,64.16104
212999,7.5144033
213001,19.354404
213002,18.842236
213006,15.904057
213007,22.831892
213011,32.24956
213012,10.448355
213013,74.771706
213016,19.490965
213017,12.218071
213020,24.766071
213021,162.6068
213022,88.7674
213023,76.79713
213025,41.36879
213026,41.23212
213027,93.45083
213031,112.04189
213032,53.118267
213033,301.44745
213034,27.179329
213035,17.02712
