record_ID,units_sold
212645,15.9385395
212646,28.797157
212647,22.048927
212648,21.660126
212649,27.668465
212653,25.290453
212654,43.732048
212657,13.557095
212658,9.99872
212661,175.04439
212662,85.61803
212663,62.62016
212666,82.17936
212667,103.05514
212668,123.68777
212671,66.26107
212672,124.823364
212673,73.330734
212674,442.42023
212675,26.31325
212676,20.35656
212677,82.20982
212678,50.796993
212679,37.54914
212681,38.351902
212682,97.46488
212683,33.406715
212686,90.91357
212687,106.84888
212688,30.691639
212689,10.09304
212691,23.89687
212692,62.988422
212693,40.397808
212694,37.0698
212695,45.97104
212696,26.684963
212697,92.602005
212698,27.933615
212699,227.81908
212700,27.09188
212701,25.60011
212702,45.37416
212703,47.349094
212704,40.616467
212705,30.964836
212706,25.14978
212707,52.34817
212709,11.215187
212710,15.881014
212711,40.229126
212712,39.34793
212713,29.490166
212716,30.868828
212717,36.644474
212718,17.467726
212719,19.823675
212721,92.457085
212722,23.80953
212723,82.67429
212724,17.923197
212725,13.70952
212727,37.067722
212728,50.53451
212729,42.04439
212731,29.82763
212732,42.30634
212734,8.9319515
212735,10.046465
212736,18.508404
212737,270.0459
212738,236.09038
212739,90.39628
212740,25.591385
212742,87.30834
212743,108.73792
212744,216.95538
212748,246.96727
212749,90.39332
212750,580.5573
212751,38.776237
212752,25.38369
212754,129.8122
212755,89.96658
212756,69.67119
212757,44.419254
212758,60.398808
212759,136.75386
212760,9.878366
212761,104.11779
212763,13.500084
212764,113.25672
212765,92.78236
212767,45.327694
212768,54.142365
212769,84.79963
212772,48.032238
212773,85.54537
212774,30.768642
212775,237.13078
212776,18.011837
212777,12.79698
212778,58.914814
212779,29.78141
212782,45.54665
212783,59.63371
212787,222.4275
212788,126.003075
212789,98.06643
212790,24.825073
212792,97.18125
212793,112.25643
212794,124.498825
212796,154.30373
212797,297.98965
212798,445.26886
212799,28.986132
212800,16.22738
212802,94.4939
212803,59.808792
212805,50.349766
212806,56.768536
212807,101.64826
212809,37.952698
212812,41.43278
212816,16.92889
212817,28.952667
212818,47.460247
212819,18.728533
212820,19.543985
212821,26.183167
212822,77.000336
212823,22.513874
212824,133.56728
212825,20.118853
212826,13.27191
212828,47.193813
212829,45.739323
212830,41.57676
212831,26.477182
212832,28.783154
212833,37.09203
212834,34.63133
212835,24.45343
